ISO_TIME,NATURE,LAT,LON,WMO_WIND,WMO_PRES
 , ,degrees_north,degrees_east,kts,mb
7/30/2023 9:00,Mixture(contradicting report from different agencies),36.2,113.3, , 
7/30/2023 12:00,Mixture(contradicting report from different agencies),36.5,112.9, ,1000
7/30/2023 15:00,Disturbance,36.6,112.8, , 
7/30/2023 18:00,Disturbance,36.8,113.2, , 
7/30/2023 21:00,Disturbance,37,113.3, , 
7/31/2023 0:00,Disturbance,37.4,113.4, , 
7/26/2023 6:00,Mixture(contradicting report from different agencies),8.9,141.3, , 
7/26/2023 9:00,Mixture(contradicting report from different agencies),9.3,141.2, , 
7/26/2023 12:00,Mixture(contradicting report from different agencies),9.7,141.1, , 
7/26/2023 15:00,Mixture(contradicting report from different agencies),10.1,141, , 
7/26/2023 18:00,Mixture(contradicting report from different agencies),10.6,140.6, ,1006
7/26/2023 21:00,Mixture(contradicting report from different agencies),11.1,140.3, , 
7/27/2023 0:00,Mixture(contradicting report from different agencies),11.4,139.9, ,1006
7/27/2023 3:00,Mixture(contradicting report from different agencies),11.6,139.3, , 
7/27/2023 6:00,Tropical,11.8,138.7, ,1004
7/27/2023 9:00,Tropical,12,138.2, , 
7/27/2023 12:00,Tropical,12.1,137.8, ,1004
